Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;
20.07.18;06:53:50;1;0;0.2377;0.2441;0.2412;0.2461;0.2368;0.2441;0.2672;0.2505;0.2672;0.2647;0.2554;0.2657;0.2368;0.2652;0.5279;0.5471;0.5299;0.5387;0.5191;0.5387;0.5760;0.5525;0.5745;0.5725;0.5608;0.5824;0.5299;0.5887;0.550;0.554;0.545;0.543;0.544;0.547;0.536;0.547;0.535;0.538;0.545;0.544;0.553;0.550;
20.07.18;06:54:12;2;2;0.2461;0.2515;0.2490;0.2539;0.2446;0.2515;0.2745;0.2578;0.2745;0.2725;0.2637;0.2735;0.2451;0.2745;0.5216;0.5377;0.5235;0.5314;0.5123;0.5314;0.5696;0.5441;0.5672;0.5657;0.5534;0.5740;0.5230;0.5828;0.528;0.532;0.524;0.522;0.522;0.527;0.518;0.526;0.516;0.518;0.523;0.523;0.531;0.529;
20.07.18;06:54:32;3;52;0.2716;0.2824;0.2760;0.2838;0.2725;0.2843;0.3132;0.2975;0.3103;0.3118;0.2956;0.3103;0.2716;0.3074;0.5049;0.5216;0.5049;0.5123;0.4951;0.5132;0.5475;0.5255;0.5451;0.5431;0.5328;0.5539;0.5069;0.5627;0.462;0.459;0.453;0.446;0.450;0.446;0.428;0.434;0.431;0.426;0.445;0.440;0.464;0.454;
20.07.18;06:54:52;4;102;0.2765;0.2882;0.2814;0.2877;0.2775;0.2902;0.3191;0.3039;0.3157;0.3162;0.3000;0.3167;0.2760;0.3132;0.4740;0.4887;0.4716;0.4765;0.4637;0.4784;0.5074;0.4873;0.5054;0.5020;0.4980;0.5157;0.4770;0.5279;0.417;0.410;0.403;0.396;0.402;0.393;0.371;0.376;0.375;0.370;0.398;0.386;0.421;0.407;
20.07.18;06:55:13;5;204;0.2990;0.3142;0.3039;0.3088;0.2990;0.3142;0.3407;0.3275;0.3377;0.3382;0.3245;0.3422;0.3015;0.3417;0.4446;0.4559;0.4407;0.4431;0.4333;0.4471;0.4711;0.4510;0.4701;0.4652;0.4647;0.4794;0.4485;0.4941;0.327;0.311;0.310;0.303;0.310;0.297;0.277;0.274;0.282;0.273;0.302;0.286;0.328;0.309;
20.07.18;06:55:33;6;308;0.3005;0.3157;0.3039;0.3098;0.3000;0.3147;0.3373;0.3245;0.3343;0.3358;0.3250;0.3417;0.3039;0.3446;0.4069;0.4147;0.4029;0.4049;0.3971;0.4074;0.4279;0.4083;0.4275;0.4225;0.4255;0.4373;0.4123;0.4549;0.261;0.239;0.246;0.235;0.244;0.227;0.212;0.205;0.218;0.205;0.236;0.219;0.263;0.242;
20.07.18;06:55:53;7;422;0.2877;0.3005;0.2897;0.2951;0.2858;0.2990;0.3196;0.3064;0.3181;0.3186;0.3113;0.3250;0.2926;0.3304;0.3716;0.3760;0.3681;0.3676;0.3618;0.3701;0.3882;0.3686;0.3897;0.3838;0.3902;0.3985;0.3784;0.4167;0.226;0.201;0.213;0.197;0.210;0.192;0.177;0.169;0.184;0.170;0.202;0.185;0.227;0.207;
20.07.18;06:56:13;8;540;0.2755;0.2848;0.2775;0.2804;0.2725;0.2838;0.3025;0.2887;0.3020;0.3015;0.2961;0.3083;0.2799;0.3157;0.3353;0.3363;0.3324;0.3309;0.3265;0.3338;0.3490;0.3304;0.3515;0.3466;0.3529;0.3588;0.3412;0.3779;0.178;0.153;0.165;0.153;0.165;0.150;0.133;0.126;0.141;0.130;0.161;0.141;0.180;0.165;
20.07.18;06:56:34;9;667;0.2544;0.2632;0.2559;0.2593;0.2515;0.2623;0.2770;0.2662;0.2779;0.2779;0.2745;0.2853;0.2598;0.2931;0.3034;0.3034;0.3020;0.3000;0.2956;0.3020;0.3152;0.2990;0.3181;0.3137;0.3206;0.3255;0.3103;0.3426;0.162;0.132;0.153;0.136;0.149;0.131;0.121;0.110;0.126;0.114;0.144;0.123;0.163;0.144;
20.07.18;06:56:54;10;814;0.2407;0.2480;0.2417;0.2446;0.2373;0.2466;0.2608;0.2500;0.2627;0.2627;0.2598;0.2686;0.2461;0.2770;0.2750;0.2760;0.2730;0.2721;0.2676;0.2735;0.2853;0.2706;0.2887;0.2848;0.2902;0.2956;0.2814;0.3103;0.125;0.101;0.115;0.101;0.114;0.099;0.086;0.076;0.090;0.077;0.105;0.091;0.125;0.107;
20.07.18;06:57:14;11;1038;0.2250;0.2319;0.2255;0.2284;0.2206;0.2299;0.2431;0.2324;0.2441;0.2441;0.2417;0.2505;0.2294;0.2583;0.2520;0.2525;0.2505;0.2490;0.2441;0.2500;0.2618;0.2480;0.2642;0.2613;0.2652;0.2701;0.2578;0.2838;0.107;0.082;0.100;0.083;0.096;0.080;0.071;0.063;0.076;0.066;0.089;0.073;0.110;0.090;
20.07.18;06:57:35;12;1290;0.2157;0.2211;0.2157;0.2186;0.2108;0.2191;0.2304;0.2211;0.2324;0.2328;0.2309;0.2387;0.2186;0.2456;0.2319;0.2328;0.2294;0.2299;0.2240;0.2309;0.2392;0.2289;0.2431;0.2412;0.2441;0.2490;0.2358;0.2603;0.070;0.051;0.060;0.049;0.059;0.051;0.037;0.034;0.044;0.035;0.054;0.041;0.073;0.056;
20.07.18;06:57:55;13;1633;0.2025;0.2078;0.2029;0.2059;0.1975;0.2064;0.2152;0.2074;0.2181;0.2186;0.2167;0.2240;0.2059;0.2299;0.2157;0.2176;0.2137;0.2147;0.2078;0.2152;0.2230;0.2137;0.2255;0.2250;0.2265;0.2319;0.2186;0.2417;0.061;0.045;0.050;0.041;0.050;0.041;0.035;0.030;0.033;0.028;0.043;0.034;0.058;0.049;
